Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6932339812,1.42965530175;"{""type"": ""LineString"", ""coordinates"": [[1.429385676278934, 43.69313631508441], [1.429924927225654, 43.693331647335114]]}";RUE DU PONT FAURE;FAURE (RUE DU PONT FAURE);2254;2254;CASTELGINEST;31116;311160000071;3101160880;48;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Nord;;;
43.6020608254,1.4447126804;"{""type"": ""LineString"", ""coordinates"": [[1.444835171466798, 43.60190539801996], [1.444698131121996, 43.60210205608357], [1.444565311385758, 43.60219089556818]]}";RUE BARONIE;BARONIE (RUE BARONIE);4656;4656;TOULOUSE;31555;315550563222;3105550864;39;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.5421313695,1.54027268581;"{""type"": ""LineString"", ""coordinates"": [[1.540732319143457, 43.541995054980625], [1.539813052482369, 43.54226768398603]]}";RUE DES SORBIERS;SORBIERS (RUE DES SORBIERS);18326;18326;ST-ORENS-DE-GAMEVILLE;31506;315060000187;3105061193;80;Zone de Rencontre;13/22616;2013-12-17T01:00:00+01:00;2014;Est;;;
43.5385097998,1.54534853631;"{""type"": ""LineString"", ""coordinates"": [[1.546275441326232, 43.53836114130992], [1.545278443347286, 43.53891236679601], [1.545191072122401, 43.53892972986893], [1.545092480931967, 43.53891105909603], [1.54471350957509, 43.53855739692981], [1.544689756365081, 43.53848438547934], [1.544740234005248, 43.538404315488506], [1.545448648628033, 43.53813868753711], [1.545561198656832, 43.538085550968525], [1.545623263196613, 43.53801407976641], [1.545673981166148, 43.53791604368734]]}";RUE DES MYRTILLES;MYRTILLES (RUE DES MYRTILLES);23958;23958;ST-ORENS-DE-GAMEVILLE;31506;315060000127;3105060893;281;Zone de Rencontre;13/22616;2013-12-17T01:00:00+01:00;2014;Est;;;
43.5400464332,1.54672306743;"{""type"": ""LineString"", ""coordinates"": [[1.546988186507955, 43.53990115213339], [1.546537486639917, 43.540154081564864], [1.546448239089727, 43.54015662211214]]}";RUE DES AIRELLES;AIRELLES (RUE DES AIRELLES);27743;27743;ST-ORENS-DE-GAMEVILLE;31506;315060000004;3105060325;53;Zone de Rencontre;13/22616;2013-12-17T01:00:00+01:00;2014;Est;;;
43.5397895952,1.54687338825;"{""type"": ""LineString"", ""coordinates"": [[1.546988186507955, 43.53990115213339], [1.546758589991379, 43.53967803821845]]}";RUE DES AIRELLES;AIRELLES (RUE DES AIRELLES);27744;27744;ST-ORENS-DE-GAMEVILLE;31506;315060000004;3105060325;31;Zone de Rencontre;13/22616;2013-12-17T01:00:00+01:00;2014;Est;;;
43.5394833207,1.547710998;"{""type"": ""LineString"", ""coordinates"": [[1.547521830467308, 43.5395405159021], [1.547644071935627, 43.53952377871027], [1.547746944330654, 43.53947589271006], [1.547889212502825, 43.53939440113847]]}";RUE DES BRUYERES;BRUYERES (RUE DES BRUYERES);27745;27745;ST-ORENS-DE-GAMEVILLE;31506;315060000031;3105060486;34;Zone de Rencontre;13/22616;2013-12-17T01:00:00+01:00;2014;Est;;;
43.5392822555,1.54776726252;"{""type"": ""LineString"", ""coordinates"": [[1.547889584708545, 43.539394360807414], [1.547644940325481, 43.539170150157666]]}";RUE DES BRUYERES;BRUYERES (RUE DES BRUYERES);27746;27746;ST-ORENS-DE-GAMEVILLE;31506;315060000031;3105060486;32;Zone de Rencontre;13/22616;2013-12-17T01:00:00+01:00;2014;Est;;;
43.5381488935,1.54665586164;"{""type"": ""LineString"", ""coordinates"": [[1.54663852326496, 43.538048612774304], [1.546636854900842, 43.53817443576143], [1.546722086323538, 43.538220448294084]]}";RUE DES BRUYERES;BRUYERES (RUE DES BRUYERES);18909;18909;ST-ORENS-DE-GAMEVILLE;31506;315060000031;3105060486;23;Zone de Rencontre;13/22616;2013-12-17T01:00:00+01:00;2014;Est;;;
43.6334575021,1.39908820434;"{""type"": ""LineString"", ""coordinates"": [[1.399205229427515, 43.63351239792549], [1.398971179261864, 43.63340260627943]]}";RUE DU VIEUX BLAGNAC;BLAGNAC (RUE DU VIEUX BLAGNAC);10530;10530;BLAGNAC;31069;310690000055;3100691090;22;Zone de Rencontre;;2014-02-28T01:00:00+01:00;2014;Ouest;;;
