Street;Motdir;Commune;"Code
Insee";"Date
Comptage";Année;Section;Sens de comptage;"Voie en
Sens unique";Type;"Moyenne
Jours ouvrés par semaine "
RUE DOMINIQUE INGRES;INGRES (RUE DOMINIQUE INGRES);Toulouse;31555;2016-03-14;2016.0;ENTRE PRINTEMPS ET CHALETS;VERS RUE DU PRINTEMPS;oui;TV;1870.0
CHE DES VIEILLES ECOLES;ECOLES (CHE DES VIEILLES ECOLES);Toulouse;31555;2016-03-16;2016.0;ENTRE CHE LALANDE ETRUE HAEDENS;VERS CHE LALANDE;;TV;123.0
RUE SAINT JOSEPH;JOSEPH (RUE SAINT JOSEPH);Toulouse;31555;2016-03-24;2016.0;ENTRE DUMERIL ET SALVAYRE;SENS UNIQUE VERS DUMERIL;oui;TV;1131.0
RUE DU CRUCIFIX;CRUCIFIX (RUE DU CRUCIFIX);Toulouse;31555;2016-03-25;2016.0;ENTRE RUE VIGUERIE ET RUE DES NOVAS;VERS RUE DES NOVAS;oui;TV;154.0
BD PIERRE ET MARIE CURIE;CURIE (BD PIERRE ET MARIE CURIE);Toulouse;31555;2016-03-28;2016.0;ENTRE RUE CAMPISTRON ET RUE AGHONNE;VERS RUE CAZENEUVE;;TV;6086.0
AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);Toulouse;31555;2016-04-04;2016.0;ENTRE CHE DES MARAICHERS ET CAMPUS;VERS AV COLONEL ROCHE;;TV;3164.0
AV DE BIARRITZ;BIARRITZ (AV DE BIARRITZ);Toulouse;31555;2016-05-09;2016.0;ENTRE WAGNER ET SOURCE;VERS AV DE CASSELARDIT;;TV;4495.0
ESP ALBERT SCHWEITZER;SCHWEITZER (ESP ALBERT SCHWEITZER);Balma;31044;2016-05-10;2016.0;ENTRE RUE MICHEL ET RUE FOLLEREAU;VERS ALL DU CYPRIE;;TV;345.0
RUE DU LUAN;LUAN (RUE DU LUAN);Balma;31044;2016-05-19;2016.0;ENTRE AV GIMONT ET RUE BULLIARD;VERS AV GIMONT;;TV;597.0
DEPARTEMENTALE 59;59 (DEPARTEMENTALE 59);L'union;31561;2016-06-16;2016.0;ENTRE AV PYRENEES ET A68;VERS AV DES PYRENEES;;TV;12295.0
AV DE CASTRES;CASTRES (AV DE CASTRES);Toulouse;31555;2016-07-18;2016.0;ENTRE BD DES CRETES ET RUE CHATEAU DE L'HER;VERS BD DES CRETES;;TV;6450.0
BD VICTOR HUGO;HUGO (BD VICTOR HUGO);Colomiers;31149;2016-09-12;2016.0;ENTRE RUE LAPLACE ET RUE CURIE;VERS N124;;TV;7304.0
AV DE L EGLISE;EGLISE (AV DE L EGLISE);Saint-Jean;31488;2016-09-12;2016.0;ENTRE RTE D'ALBI ET RUE DES ROSES;VERS RUE DES ROSES;;TV;3677.0
RUE JACQUES CARTIER;CARTIER (RUE JACQUES CARTIER);Toulouse;31555;2016-09-15;2016.0;ENTRE CHE MOUNDI ET RUE ALEMBERT;VERS CHE MOUNDI;;TV;335.0
RUE CAPUS;CAPUS (RUE CAPUS);Toulouse;31555;2015-05-21;2015.0;ENTRE RUE COLBERT ET RUE CAZENEUVE;SENS UNIQUE VERS CAZENEUVE;oui;TV;606.0
CHE DE CROIX BENITE;BENITE (CHE DE CROIX BENITE);Toulouse;31555;2015-04-08;2015.0;ENTRESERMET ET GAUSSEN;VERS AUCAMVILLE;;TV;5038.0
RTE D AUCH;AUCH (RTE D AUCH);Colomiers;31149;2015-04-08;2015.0;ENTRE RUE CAYRE ET CHE DU PAGE;VERS AUCH;;TV;38435.0
CHE DU PAGE;PAGE (CHE DU PAGE);Colomiers;31149;2015-11-26;2015.0;ENTRE ALL DU PORTEL ET ALL DE LA QUILLANE;VERS AV HERMES;;TV;3916.0
BD DEODAT DE SEVERAC;SEVERAC (BD DEODAT DE SEVERAC);Colomiers;31149;2015-11-26;2015.0;ENTRE ALL CROS ET CHE DES RAMASSIERS;VERS CHE DES RAMASSIERS;;TV;2575.0
AV DE PARIS;PARIS (AV DE PARIS);Blagnac;31069;2015-11-02;2015.0;ENTRE RUE DORET ET A621;VERS  A621;oui;TV;12281.0
AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);Toulouse;31555;2015-09-21;2015.0;ENTRE RUE BARRAU ET RUE BEZIAT;VERS PONT DES DEMOISELLES;;TV;5554.0
AV POMPIDOU;POMPIDOU (AV POMPIDOU);Cugnaux;31157;2015-11-04;2015.0;ENTRE RUE MENDES FRANCE ET AV DU COMMINGES;VERS AV DU COMMINGES;;TV;3756.0
CHE DE LA PASSERELLE;PASSERELLE (CHE DE LA PASSERELLE);Colomiers;31149;2015-08-31;2015.0;ENTRE CHE DE LA PASSERELLE ET ALL COTE D'AR;VERS CHE DE LA PASSERELLE;;TV;174.0
ALL DE LIMAYRAC;LIMAYRAC (ALL DE LIMAYRAC);Toulouse;31555;2015-06-25;2015.0;ENTRE CHE DE LIMAYRAC ET RUE GARGAS;VERS AV JEAN GONORD;;TV;3774.0
RUE LEON GAMBETTA;GAMBETTA (RUE LEON GAMBETTA);Toulouse;31555;2015-01-15;2015.0;ENTRE CAPITOLE ET MIREPOIX;SENS UNIQUE VERS MIREPOIX;oui;TV;2820.0
RUE VALADE;VALADE (RUE VALADE);Toulouse;31555;2015-01-15;2015.0;ENTRE BASTIDE ET SAINT PIERRE;SENS UNIQUE VERS PARGAMINIERES;oui;TV;2058.0
QU DE LA DAURADE;DAURADE (QU DE LA DAURADE);Toulouse;31555;2015-01-15;2015.0;ENTRE DAURADE ET TABAC;SENS UNIQUE VERS TABAC;oui;TV;4780.0
RUE MALBEC;MALBEC (RUE MALBEC);Toulouse;31555;2015-01-15;2015.0;ENTRE GAMBETTA ET DAURADE;SENS UNIQUE VERS DAURADE;oui;TV;518.0
RUE DE LONGCHAMPS;LONGCHAMPS (RUE DE LONGCHAMPS);Tournefeuille;31557;2015-06-12;2015.0;ENTRE RUE DE VINCENNES ET RUE GAUGUIN;VERS RUE GAUGUIN;;TV;467.0
AV PIERRE MOLETTE;MOLETTE (AV PIERRE MOLETTE);Toulouse;31555;2015-06-10;2015.0;ENTRE AV DE  LARDENNE ET RUE ALEMBERT;VERS AV DE LARDENNE;;TV;1367.0
RUE JEAN D ALEMBERT;ALEMBERT (RUE JEAN D ALEMBERT);Toulouse;31555;2015-06-10;2015.0;ENTRE RUE CARTIER ET IMP ALEMBERT;VERS CHE CATALA;;TV;378.0
RUE DU CHATEAU D EAU;EAU (RUE DU CHATEAU D EAU);Blagnac;31069;2015-01-23;2015.0;ENTRE RTE GRENADE ET IMP CHATEAU D'EAU;VERS SERVANTY;;TV;598.0
RUE MARIUS TERCE;TERCE (RUE MARIUS TERCE);Toulouse;31555;2015-02-23;2015.0;ENTRE SORTIE AIBUS ET MAX FISCHL;VERES AIRBUS;;TV;1959.0
AV DE BALARDOU;BALARDOU (AV DE BALARDOU);Pibrac;31417;2015-01-23;2015.0;ENTRE CATALPAS ET PEUPLIERS;VERS CATALPAS;;TV;1324.0
RTE DE CASTRES;CASTRES (RTE DE CASTRES);Quint-Fonsegrives;31445;2018-02-08;2018.0;ENTRE RPT GINESTIERE ET RD64;VERS RD64;;TV;4506.0
BD CATALA;CATALA (BD CATALA);Saint-Orens-De-Gameville;31506;2018-03-09;2018.0;ENTRE RUE VIGUERIE ET RUE TOURTERELLES;VERS RUE DES TOURTERELLES;;TV;603.0
RUE CLAUDE FAURIEL;FAURIEL (RUE CLAUDE FAURIEL);Toulouse;31555;2018-03-16;2018.0;ENTRE AV DE LESPINET ET RUE JASMIN;VERS AV DE LESPINET;;TV;30.0
RUE DE CHATEAUDUN;CHATEAUDUN (RUE DE CHATEAUDUN);Toulouse;31555;2018-03-19;2018.0;ENTRE RUE JANY ET RUE PRINTEMPS;VERS RUE DU PRINTEMPS;oui;TV;284.0
RUE THEODORE OZENNE;OZENNE (RUE THEODORE OZENNE);Toulouse;31555;2018-03-19;2018.0;ENTRE RUE FELIX ET RUE PLEAU;VERS RUE DU LANGEDOC;;TV;1433.0
RUE CHRISTOPHE COLOMB;COLOMB (RUE CHRISTOPHE COLOMB);Toulouse;31555;2018-03-19;2018.0;ENTRE DB MATABIAU ET RUE VOLTA;VERS RUE VOLTA;;TV;149.0
RUE EMILE BROUARDEL;BROUARDEL (RUE EMILE BROUARDEL)_TOULOUSE;Toulouse;31555;2018-03-19;2018.0;ENTRE BD LASCROSSES ET RUE FRANKLIN;VERS BD DE LA MARQUETTE;;TV;851.0
RUE DU 14 JUILLET;JUILLET (RUE DU 14 JUILLET);Tournefeuille;31557;2018-05-15;2018.0;ENTRE IMP 14 JUILLET ET RTE DE TARBES;VERS RTE DE TARBES;;TV;417.0
