Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6058572951,1.44344876174;"{""type"": ""LineString"", ""coordinates"": [[1.442619161049971, 43.60582950338027], [1.443000214477609, 43.60585900585756], [1.443658581940557, 43.60588973838025], [1.444275697430528, 43.60580471799456]]}";RUE DU SENECHAL;SENECHAL (RUE DU SENECHAL);3310;3310;TOULOUSE;31555;315556585643;3105558216;135;Aire Pietonne;11/116;2011-05-20T02:00:00+02:00;2011;Centre;oui;oui;
43.5991723564,1.44403167682;"{""type"": ""LineString"", ""coordinates"": [[1.444152242788707, 43.59872765565578], [1.443911110854428, 43.599617057096054]]}";RUE DES FILATIERS;FILATIERS (RUE DES FILATIERS);4828;4828;TOULOUSE;31555;315552800001;3105553300;101;Aire Pietonne;11/114;2011-05-26T02:00:00+02:00;2011;Centre;oui;oui;
43.6014645815,1.4429246695;"{""type"": ""LineString"", ""coordinates"": [[1.442228293181882, 43.60141083253991], [1.443621045819543, 43.60151833040135]]}";RUE TEMPONIERES;TEMPONIERES (RUE TEMPONIERES);2;2;TOULOUSE;31555;315556812860;3105558428;113;Aire Pietonne;11/167;2011-07-11T02:00:00+02:00;2011;Centre;oui;oui;
43.6015003109,1.44385565889;"{""type"": ""LineString"", ""coordinates"": [[1.443621045819543, 43.60151833040135], [1.444090271963129, 43.60148229141127]]}";RUE PEYRAS;PEYRAS (RUE PEYRAS);4653;4653;TOULOUSE;31555;315555353645;3105556804;38;Aire Pietonne;11/168;2011-07-11T02:00:00+02:00;2011;Centre;oui;oui;
43.6626037779,1.39259819373;"{""type"": ""LineString"", ""coordinates"": [[1.391779815040784, 43.6622730540872], [1.393083516684742, 43.662823623822376], [1.393302199720627, 43.662836707180105], [1.39343176121805, 43.66279190151624]]}";CHE DE CLOUTOS;CLOUTOS (CHE DE CLOUTOS);27060;2706;BEAUZELLE;31056;310560000025;3100560028;151;Aire Pietonne;;;2012;Ouest;oui;oui;
43.6622190628,1.39156058902;"{""type"": ""LineString"", ""coordinates"": [[1.391341363003779, 43.66216507147392], [1.391779815040784, 43.6622730540872]]}";CHE DE CLOUTOS;CLOUTOS (CHE DE CLOUTOS);12431;1243;BEAUZELLE;31056;310560000025;3100560028;37;Aire Pietonne;;;2012;Ouest;;;
43.6559798871,1.39441400109;"{""type"": ""LineString"", ""coordinates"": [[1.393570536400713, 43.65551726758157], [1.393881724972212, 43.65569612433922], [1.395261742087326, 43.65643479927802]]}";CHE DU MOULIN DE NAUDIN;NAUDIN (CHE DU MOULIN DE NAUDIN);33112;3311;BLAGNAC;31069;310690000278;3100690711;170;Aire Pietonne;;;2012;Ouest;oui;oui;
43.603885455,1.4436104174;"{""type"": ""LineString"", ""coordinates"": [[1.443922386889348, 43.60391913819435], [1.443298447917599, 43.603851771834805]]}";PL DU CAPITOLE;CAPITOLE (PL DU CAPITOLE);4903;4903;TOULOUSE;31555;315551420803;3105551676;51;Aire Pietonne;13/106;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6048245341,1.44277677605;"{""type"": ""LineString"", ""coordinates"": [[1.442726721536866, 43.60481988075809], [1.44282683057064, 43.60482918744366]]}";PL DU CAPITOLE;CAPITOLE (PL DU CAPITOLE);4874;4874;TOULOUSE;31555;315551420803;3105551676;8;Aire Pietonne;13/106;2013-07-11T02:00:00+02:00;2013;Centre;;;
43.6053781409,1.44399172389;"{""type"": ""LineString"", ""coordinates"": [[1.443707750343377, 43.604951563739405], [1.444275697430528, 43.60580471799456]]}";RUE DE REMUSAT;REMUSAT (RUE DE REMUSAT);4621;4621;TOULOUSE;31555;315555830453;3105557392;105;Aire Pietonne;13/112;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
