number,contract_name,name,address,lat,lng,bike_stands,available_bike_stands,available_bikes,status,last_update,time_get
236,toulouse,00236 - TOEC / LEMIRE,RUE DE L'ABBE JULES LEMIRE,43.59729443895585,1.403872948950036,20,9,11,OPEN,1591615911.0,1591616069
111,toulouse,00111 - MINIMES PASSERELLE,38B BD DES MINIMES,43.615259799224134,1.442921175845342,27,22,5,OPEN,1591615951.0,1591616069
243,toulouse,00243 - ETATS-UNIS / FERRY,96 av des Etats-Unis angle rue Jules Ferry,43.632641237523,1.43180804154469,17,9,8,OPEN,1591615713.0,1591616069
152,toulouse,00152 - MAZADES,10 AV DES MAZADES,43.624183134252704,1.438302180907754,20,7,13,OPEN,1591615990.0,1591616069
174,toulouse,00174 - MAUNOURY / MELA,41 AV MAURICE BOURGES MAUNOURY,43.63692179179762,1.452693250180783,19,15,4,OPEN,1591615915.0,1591616069
276,toulouse,00276 - MARIN REBOUL,chemin du Marin angle chemin du Reboul,43.58132,1.37975,18,17,1,OPEN,1591615897.0,1591616069
77,toulouse,00077 - PLACE INT SAINT CYPRIEN,2 PL INTERIEURE ST CYPRIEN,43.597835830061406,1.431605284631358,13,0,12,OPEN,1591615592.0,1591616069
137,toulouse,00137 - BRUNHES-FONTAINES,47 BD JEAN BRUNHES,43.60094924792523,1.420275802412521,15,3,12,OPEN,1591615654.0,1591616069
144,toulouse,00144 - SUISSE - LAUSANE,62 BD DE SUISSE,43.61606217398145,1.421715694303944,22,4,18,OPEN,1591615546.0,1591616069
40,toulouse,00040 - COLOMBETTE,41 RUE DE LA COLOMBETTE,43.604660136134775,1.453588691746783,16,4,12,OPEN,1591616043.0,1591616069
25,toulouse,00025 - PLACE ROUAIX,1 RUE DES TOURNEURS,43.599435045967155,1.445580732388259,18,5,13,OPEN,1591615948.0,1591616069
74,toulouse,00074 - LAGANNE TEINTURIERS,37 RUE LAGANNE,43.596660562935625,1.436175197009508,18,2,16,OPEN,1591615608.0,1591616069
71,toulouse,00071 - COURS DILLON,3 RUE LAGANNE,43.59318934283672,1.434894328349442,22,17,5,OPEN,1591615572.0,1591616069
105,toulouse,00105 - BILLIERE -CHAMPETRE,12  AV  ETIENNE  BILLIERES,43.59764204883991,1.428862699237109,19,5,14,OPEN,1591615946.0,1591616069
64,toulouse,00064 - PERI MERCADIER,0030 RUE GABRIEL PERI,43.60617263070887,1.454987798766018,24,17,7,OPEN,1591615754.0,1591616069
3,toulouse,00003 - POMME,62 RUE DE LA POMME,43.60333593826575,1.445569311598848,18,10,7,OPEN,1591615798.0,1591616069
139,toulouse,00139 - BARRIERE DE LOMBEZ,39 BIS AV DE LOMBEZ,43.5955673906372,1.418420510391943,25,20,5,OPEN,1591615787.0,1591616069
93,toulouse,00093 - PRINTEMPS,57 RUE DU PRINTEMPS,43.614465544425535,1.44361404386217,17,14,3,OPEN,1591615659.0,1591616069
81,toulouse,00081 - JARDIN RAYMOND VI,ALL CHARLES DE FITTE,43.59989498759688,1.429556601823956,33,5,28,OPEN,1591615846.0,1591616069
60,toulouse,00060 - ROQUELAINE,32 PL ROQUELAINE,43.61263652233987,1.448541598385468,24,23,1,OPEN,1591616001.0,1591616069
36,toulouse,00036 - PLACE SCHUMAN,5 PL ROBERT SCHUMAN,43.609623167283914,1.449367822982907,19,16,3,OPEN,1591615677.0,1591616069
227,toulouse,00227 - METRO UPS,118  RTE DE NARBONNE,43.56160969546884,1.462869145576551,20,11,9,OPEN,1591615589.0,1591616069
248,toulouse,00248 - BOUQUETINS/E. ROSTAND,RUE DES BOUQUETINS ANGLE RUE EDMOND ROSTAND,43.64108958806659,1.449039275575635,20,15,5,OPEN,1591615641.0,1591616069
53,toulouse,00053 - PLACE SAINT JULIEN,PL SAINT JULIEN,43.60863633636605,1.437631489341106,25,15,10,OPEN,1591615694.0,1591616069
187,toulouse,00187 - DESBALS MONTDORE,187 RUE HENRI DESBALS,43.584523123495174,1.415543960373121,17,3,14,OPEN,1591615805.0,1591616069
87,toulouse,00087 - LASCROSSES LECLERC,47 BD LASCROSSES,43.609500004240715,1.432335729928681,25,22,3,OPEN,1591615831.0,1591616069
225,toulouse,00225 - BELIN ONERA,AVENUE EDOUARD BELIN DEVANT ONERA,43.56947707206279,1.473268554354084,20,8,12,OPEN,1591615713.0,1591616069
